date,1. open,2. high,3. low,4. close,5. volume
2024-08-06 14:00:00,159.4,159.49,158.83,159.285,1443861.0
2024-08-06 13:45:00,159.24,159.61,158.99,159.4,849583.0
2024-08-06 13:30:00,159.46,159.61,159.13,159.23,903892.0
2024-08-06 13:15:00,159.87,159.97,159.3,159.46,559860.0
2024-08-06 13:00:00,159.87,160.11,159.64,159.84,543546.0
2024-08-06 12:45:00,159.4,160.07,159.4,159.88,826239.0
2024-08-06 12:30:00,159.19,159.51,158.99,159.39,551880.0
2024-08-06 12:15:00,159.588,159.75,159.04,159.18,683947.0
2024-08-06 12:00:00,159.43,159.69,159.07,159.58,848099.0
2024-08-06 11:45:00,159.23,159.49,158.98,159.415,1259485.0
2024-08-06 11:30:00,158.63,159.3,158.52,159.21,921404.0
2024-08-06 11:15:00,158.97,159.54,158.57,158.61,993195.0
2024-08-06 11:00:00,159.31,159.5,158.81,158.95,996035.0
2024-08-06 10:45:00,158.78,159.58,158.59,159.33,1226504.0
2024-08-06 10:30:00,157.66,158.92,157.0,158.79,1447541.0
2024-08-06 10:15:00,157.075,158.028,156.905,157.66,1609433.0
2024-08-06 10:00:00,156.97,157.4,156.54,157.06,2392316.0
2024-08-06 09:45:00,156.77,157.6,156.41,156.95,2228677.0
2024-08-06 09:30:00,159.33,159.4,156.72,156.78,3056934.0
2024-08-06 09:15:00,159.88,160.18,159.02,159.28,51557.0
2024-08-06 09:00:00,160.0,160.16,159.81,159.96,10470.0
2024-08-06 08:45:00,159.94,160.22,159.8,159.96,9780.0
2024-08-06 08:30:00,160.15,160.15,159.25,159.84,14973.0
2024-08-06 08:15:00,160.09,160.22,159.25,159.25,11385.0
2024-08-06 08:00:00,161.15,164.8,159.25,160.14,43216.0
2024-08-06 07:45:00,160.0,160.33,159.83,160.15,11224.0
2024-08-06 07:30:00,160.49,160.75,159.85,160.0,16634.0
2024-08-06 07:15:00,160.44,160.64,160.36,160.49,10768.0
2024-08-06 07:00:00,160.4,161.0,160.25,160.44,18135.0
2024-08-06 06:45:00,160.47,160.65,160.04,160.37,2023.0
2024-08-06 06:30:00,160.09,160.71,159.89,160.47,5349.0
2024-08-06 06:15:00,159.63,160.07,159.54,160.07,2585.0
2024-08-06 06:00:00,159.5,159.7,159.0,159.67,6305.0
2024-08-06 05:45:00,159.85,160.07,159.25,159.5,9427.0
2024-08-06 05:30:00,160.23,160.23,159.55,159.85,4186.0
2024-08-06 05:15:00,159.74,160.66,159.62,160.23,6757.0
2024-08-06 05:00:00,160.72,160.72,159.5,159.74,5140.0
2024-08-06 04:45:00,160.78,161.0,160.7,160.72,6730.0
2024-08-06 04:30:00,160.65,160.94,160.56,160.75,2771.0
2024-08-06 04:15:00,160.34,161.06,160.03,160.73,10573.0
2024-08-06 04:00:00,160.9,163.46,160.34,160.37,22230.0
2024-08-05 19:45:00,160.55,160.96,160.16,160.9,7862.0
2024-08-05 19:30:00,160.53,160.88,160.0,160.55,14502.0
2024-08-05 19:15:00,160.89,160.89,160.0,160.57,6271.0
2024-08-05 19:00:00,160.38,160.9,160.1,160.89,8812.0
2024-08-05 18:45:00,160.85,160.9,160.04,160.38,4641.0
2024-08-05 18:30:00,161.266,161.27,160.65,160.9,3228.0
2024-08-05 18:15:00,160.57,162.37,160.3,161.25,15178.0
2024-08-05 18:00:00,159.95,161.048,159.93,160.62,10568.0
2024-08-05 17:45:00,159.91,159.99,159.8,159.86,4734.0
2024-08-05 17:30:00,159.9,160.0,148.891,159.81,7746.0
2024-08-05 17:15:00,159.8,166.659,153.851,159.92,12723.0
2024-08-05 17:00:00,160.02,160.1,148.891,159.906,70718.0
2024-08-05 16:45:00,160.14,160.51,159.25,160.0,33254.0
2024-08-05 16:30:00,159.79,160.29,159.54,160.14,13466.0
2024-08-05 16:15:00,159.25,160.43,159.25,159.725,52769.0
2024-08-05 16:00:00,159.27,160.8,159.09,160.27,11294603.0
2024-08-05 15:45:00,158.955,159.41,158.51,159.2,3941572.0
2024-08-05 15:30:00,159.6,159.81,158.78,158.96,2026143.0
2024-08-05 15:15:00,159.37,159.76,158.92,159.6,1974555.0
2024-08-05 15:00:00,158.85,160.21,158.835,159.35,2336013.0
2024-08-05 14:45:00,159.63,160.25,157.51,158.84,5595970.0
2024-08-05 14:30:00,162.37,162.63,159.1,159.6,3443889.0
2024-08-05 14:15:00,161.85,162.41,161.8,162.38,469923.0
2024-08-05 14:00:00,162.89,162.96,161.8,161.85,669395.0
2024-08-05 13:45:00,163.09,163.36,162.83,162.89,487468.0
2024-08-05 13:30:00,162.96,163.35,162.635,163.05,592440.0
2024-08-05 13:15:00,163.21,163.5,162.9,162.97,532249.0
2024-08-05 13:00:00,162.37,163.46,162.33,163.245,594758.0
2024-08-05 12:45:00,162.99,163.17,162.237,162.36,625983.0
2024-08-05 12:30:00,163.605,163.64,162.56,163.05,552524.0
2024-08-05 12:15:00,163.11,163.62,162.825,163.62,462439.0
2024-08-05 12:00:00,162.69,163.153,154.97,163.1,606220.0
2024-08-05 11:45:00,162.93,163.42,162.51,162.7,660676.0
2024-08-05 11:30:00,163.25,163.78,162.8,162.93,818700.0
2024-08-05 11:15:00,164.0,164.43,163.185,163.25,968583.0
2024-08-05 11:00:00,162.37,164.07,161.6,164.01,1318640.0
2024-08-05 10:45:00,161.73,162.87,161.64,162.33,1256975.0
2024-08-05 10:30:00,160.92,162.89,160.7,161.75,1463568.0
2024-08-05 10:15:00,161.5,162.39,155.92,160.91,1738002.0
2024-08-05 10:00:00,160.53,161.66,160.505,161.54,1781656.0
2024-08-05 09:45:00,160.69,162.34,160.48,160.505,3031817.0
2024-08-05 09:30:00,155.5,161.23,154.93,160.7,7094723.0
2024-08-05 09:15:00,157.7,158.49,154.93,155.41,340215.0
2024-08-05 09:00:00,156.09,168.3,155.84,157.79,201508.0
2024-08-05 08:45:00,155.96,156.49,155.1,156.09,93434.0
2024-08-05 08:30:00,156.74,157.14,155.72,155.79,162854.0
2024-08-05 08:15:00,156.28,166.66,155.85,156.68,133608.0
2024-08-05 08:00:00,158.9,166.66,150.22,156.3,166034.0
2024-08-05 07:45:00,157.65,157.76,156.3,157.2,84462.0
2024-08-05 07:30:00,158.0,158.58,157.0,157.65,99797.0
2024-08-05 07:15:00,159.37,159.75,157.89,157.99,46272.0
2024-08-05 07:00:00,157.91,159.63,157.23,159.3,79186.0
2024-08-05 06:45:00,156.71,157.97,156.13,157.79,31751.0
2024-08-05 06:30:00,157.68,158.11,156.1,156.71,45497.0
2024-08-05 06:15:00,158.66,158.82,157.4,157.52,29578.0
2024-08-05 06:00:00,159.26,159.36,158.17,158.55,21347.0
2024-08-05 05:45:00,157.23,159.39,157.1,159.26,22018.0
2024-08-05 05:30:00,158.07,158.42,157.2,157.34,32578.0
2024-08-05 05:15:00,158.12,158.48,157.63,158.23,21126.0
2024-08-05 05:00:00,158.8,159.4,157.75,158.07,14590.0
2024-08-05 04:45:00,159.62,159.76,158.7,158.78,15012.0
2024-08-05 04:30:00,159.56,160.06,159.03,159.46,14453.0
2024-08-05 04:15:00,159.3,160.64,159.05,159.58,29373.0
2024-08-05 04:00:00,158.38,163.7,149.01,159.37,57680.0
2024-08-02 19:45:00,166.28,166.31,166.0,166.29,3174.0
2024-08-02 19:30:00,166.28,166.39,166.25,166.26,1234.0
2024-08-02 19:15:00,166.421,166.45,166.27,166.27,1808.0
2024-08-02 19:00:00,166.45,166.45,166.32,166.45,1315.0
2024-08-02 18:45:00,166.4,166.81,166.26,166.45,1648.0
2024-08-02 18:30:00,166.4,168.81,166.24,166.3,16086.0
2024-08-02 18:15:00,166.27,166.6,166.24,166.24,763.0
2024-08-02 18:00:00,166.12,166.66,166.1,166.3,120604.0
2024-08-02 17:45:00,166.15,166.15,166.01,166.12,810.0
